S.N.,Heading,2022/23R,2023/24R,2024/25P
,,Annual,Annual,Annual
1,Soyabean Oil,8475.99,901.8,106790.82
2,Polyster Yarn & Thread,10550.17,11210.11,13579.98
3,Woolen Carpet,11503.49,10570.74,10773.44
4,Zinc sheet,7705.75,11858.05,10108.49
5,Jute Goods,7241.1,6755.78,8222.94
6,Juice,6629.8,8658.69,7703.78
7,Cardamom,8255.98,7936.62,7674.04
8,Particle Board,4704.13,7415.32,7099.65
9,Readymade Garments,5839.11,6294.5,5810.19
10,Tea,3930.18,3611.64,4567.97
11,Oil Cakes,2302.27,2955.79,3629.82
12,Pashmina,3194.1,3024.06,3224.13
13,Textiles,2377.83,2542.39,3091.28
14,Palm Oil,20509.12,6336.48,2414.3
15,Noodles,2296.09,1966.22,2377.21
16,Rosin,1652.33,1478.59,2058.69
17,Shoes and Sandals,1017.25,1277.71,2000.12
18,Herbs,1844.05,1921.16,1939.11
19,Medicine (Ayurvedic),1287.83,1544.1,1755.01
20,"Musical instruments, parts and accessories",919.05,863.69,1050.67
21,Other Exports,44905.1,53257.2,71158.6
