Groups & Sub-Groups,2022/23,2024/25
,,
Cereal grains and their products,91.03,106.13
Pulses and Legumes,90.94,107.9
Vegetable,92.34,110.71
Meat and Fish,97.97,99.66
Milk products and Eggs,93.03,103.27
Ghee and Oil,112.35,108.72
Fruit,94.14,104.68
Sugar and Sugar products,91.02,101.15
Spices,79.12,97.38
Non-alcoholic drinks,93.75,104.58
Alcoholic drinks,94.97,105.65
Tobacco products,97.73,104.37
Clothes and Footwear,95.64,106.09
Housing and Utilities,96.06,102.43
Furnishing and Household equipment,95.46,104.78
Health,96.34,102.23
Transportation,100.82,103.55
Communication,99.57,102.02
Recreation and Culture,90.12,101.94
Education,92.82,103.97
Restaurants and Accomodation Services,93.35,103.51
Insurance and Financial Services,-,100.2
Miscellaneous goods and services,89.78,109.39
