Groups and Sub-groups,Weight %,2020/21,2021/22,2022/23,2023/24,2024/25P
,,,,,,
Food,31.27,131.91,136.54,143.55,154.8,166.89
Nonfood,2.31,123.41,135.56,148.18,146.07,145.83
Fuel and Power,5.66,122.63,157.21,205.55,193.97,184.2
Electricity,3.1,100,100,100,100,100
"Manufacture Of Food, Beverage & Tobacco",15.16,127.09,142.7,154.72,163.78,169.42
Manufacture Of Textiles,1.01,127.36,140.98,152.88,170.34,168.47
Manufacture Of Leather And Leather Products,0.29,113.12,117.76,127.99,138.72,142.52
Manufacture Of Wood And Wood Products,2.07,117.61,138.9,158.3,163.19,165.36
Manufacture Of Paper And Paper Products,1.08,114.09,124.49,143.68,163.36,163.71
Manufacture Of Chemicals And Chemical Products,6.55,121.32,136.04,147.66,153.15,155.38
Manufacture Of Rubber And Plastics Products,1.92,108.72,116.14,122.12,121.8,121
Manufacture of non-metallic mineral products,4.5,100.04,105.05,118.74,109.6,98.79
Manufacture of basic metals,12.55,119.53,140.4,149.67,154.59,168.11
Manufacture Of Elctric And Electronic Products,4.45,97.71,100.27,102.62,104.41,105.63
Manufacture Of Machinery And Equipment,3.17,113.04,122.68,131.49,136.4,138.21
"Manufacture Of Transport, Equipments And Parts",3.8,123.72,135.07,144.05,147.15,151.9
Other,1.08,117.84,123.2,136.23,141.92,145.67
Consumption Goods,32.9,123.3,135.53,141.87,151.27,161.65
Intermediate Goods,56.3,123.97,135.97,151.24,155.32,158.85
Capital Goods,10.8,109.27,117.04,123.03,125.73,129.36
