Headings,,2022/23,2023/24,2024/25
,,,,
,Gross Borrowings,255997.7,234421.4,329990.8
,Treasury Bills,153610,55000,115000
,Development Bonds,100000,179000,210950
,National Saving Certificates,0,0,0
,Citizen Saving Bonds,2361.31,369.8,3900.2
,Foreign Employment Bond,26.36,51.6,140.6
,Special Bonds,0,0,0
,Payments,115094.8,182623.32,243912.6
,Treasury Bills,50302.5,109123.3,143130.3
,Development Bonds,64000,73500,99140
,National Saving Certificates,0,0,0
,Citizen Saving Bonds,751.1,0,1605.2
,Foreign Employment Bond,41.2,0,37.1
,Special Bonds,0,0,0
,Net Domestic Borrowings (NDB) (A-B),140902.9,51798.1,86078.2
,Treasury Bills,103307.5,-54123.3,-28130.3
,Development Bonds,36000,105500,111810
,National Saving Certificates,0,0,0
,Citizen Saving Bonds,1610.2,369.8,2295
,Foreign Employment Bond,-14.8,51.6,103.5
,Special Bonds,0,0,0
