Industrial Classification,,,,,,,,,,,,,,
,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24 R,2024/25 P
"Agriculture, forestry and fishing",505735,512342,535329,541758,541301,569312,584167,614292,629229,647154,662372,682403,705275,728442
Mining and quarrying,8966,9169,10224,10546,10263,11761,12867,15134,14797,15485,16854,17007,17557,17907
Manufacturing,92647,95325,101091,101155,91537,106940,116785,124403,113171,122968,131209,128979,126374,131148
"Electricity, gas, steam and air conditioning supply",16505,16647,17276,17387,15891,19520,21546,23617,28224,29403,44891,53763,59655,67901
"Water supply; sewerage, waste management and remediation activities",10031,11021,12035,13250,14222,14653,15322,15510,15843,16056,16550,17083,17300,17663
Construction,92907,95039,103557,106733,106864,126822,142165,152801,146095,156315,167144,164673,161048,164610
Wholesale and retail trade; repair of motor vehicles and motorcycles,226875,233081,247240,257602,251008,277884,325767,352194,312080,332798,357483,342814,341567,352823
Transportation and storage,82508,89324,95033,100638,100812,105258,117552,127863,112783,117785,123207,124988,141770,155169
Accommodation and food service activities,26049,27851,28269,29799,27420,31092,34887,38348,24245,26847,30220,35668,43168,45328
Information and communication,40082,44364,55876,61795,62840,71416,72942,78084,79662,82589,86046,89620,94018,98535
Financial and insurance activities,69773,71119,75739,80961,88170,96810,105941,112667,112274,117504,125629,135580,146345,155545
Real estate activities,145494,148226,150618,152882,153478,159689,162181,168269,171766,176516,179546,184764,189261,194416
"Professional, scientific and technical activities",13005,13628,14543,15620,15922,17309,18165,19184,19476,19769,20461,21264,22147,23029
Administrative and support service activities,6170,7045,8158,9108,10198,11859,14067,14972,15300,15651,15898,16698,17372,18062
Public administration and defence; compulsory social security,66247,69630,73046,79002,80625,87095,91200,95865,101769,105212,109508,115485,120414,123109
Education,79550,84177,88345,93186,99852,107048,113288,120060,123904,128760,134760,140055,143067,145903
Human health and social work activities,17666,18297,18853,20854,21550,23144,24503,26143,27502,29316,31366,33427,35203,36883
"Arts, entertainment and recreation; Other service activities; and Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use",6964,7216,7477,8129,8496,8894,9306,9857,10031,10370,10835,11446,11935,12403
Taxes less subsidies on products,"124,869","136,070","148,430","161,952","169,975","191,831",211053,230480,226150,244320,265698,264111,280913,308695
